유형,대회명,웹페이지,시작일,종료일
경진대회,"Playground Series - Season 3, Episode 8",https://www.kaggle.com/competitions/playground-series-s3e8,2023-02-21,2023-03-06
경진대회,제1회 코스포 x 데이콘 자동차 충돌 분석 AI경진대회(채용 연계형),https://dacon.io/competitions/official/236064/overview/description,2023-02-06,2023-03-13
경진대회,GoDaddy - Microbusiness Density Forecasting,https://www.kaggle.com/competitions/godaddy-microbusiness-density-forecasting,2022-12-15,2023-03-14
경진대회,Learning Equality - Curriculum Recommendations,https://www.kaggle.com/competitions/learning-equality-curriculum-recommendations,2022-12-15,2023-03-14
경진대회,March Machine Learning Mania 2023,https://www.kaggle.com/competitions/march-machine-learning-mania-2023,2023-02-15,2023-03-16
경진대회,ML Olympiad 2023 (대회별 종료일 상이),https://developers.googleblog.com/2023/02/MLOlympiad2023.html?m=1,2023-02-20,2023-03-17
경진대회,Warmup Round - March Machine Learning Mania 2023,https://www.kaggle.com/competitions/warmup-round-march-machine-learning-mania-2023,2023-02-15,2023-03-17
경진대회,노트북으로 GPT 맛보기(대회 종료일 3/30),https://aiconnect.kr/competition/detail/223,2023-02-14,2023-03-19
공모전,모두의 아이디어랩 : MODU's WHYdeaLab,https://event-us.kr/modu/event/58835,2023-03-13,2023-03-23
경진대회,제1회 비트무사(Bitmusa) 모의트레이딩 대회,https://www.all-con.co.kr/view/contest/493435?page=1&sortname=cl_order&sortorder=asc&t=1&ct=4%7C1&sc=25%7C2%7C6&tg=,2023-03-09,2023-03-23
공모전,2023 야구 칼럼 공모전,https://aceprojectrecruit.notion.site/69f6b7584b454d82b988b5e6b5f2be2b,2023-02-20,2023-03-24
공모전,2023년 강서구 빅데이터 활용 공모전,https://www.gangseo.seoul.kr/reserve/re040101/view?aplySn=44&amp;curPage=1%E2%80%8B,2023-02-20,2023-03-24
경진대회,데이콘 Basic 전화 해지 여부 분류 AI 경진대회,https://dacon.io/competitions/official/236075/overview/description,2023-03-13,2023-03-27
공모전,2023년 제10회 유닛로드시스템(ULS) 창의성 공모전,http://www.kopal.or.kr/index.php/customer/notice_view/pk/123,2023-03-01,2023-03-31
공모전,KIMS 인공지능 과학토크 공모전,https://sangsang.kims.re.kr/,2023-03-02,2023-03-31
공모전,나노영챌린지 2023(Nano Young Challenge 2023),https://www.kontrs.or.kr/news/notice.php?admin_mode=read&no=603,2023-02-27,2023-04-03
경진대회,월간 데이콘 ChatGPT 활용 AI 경진대회,https://dacon.io/competitions/official/236071/overview/description,2023-03-13,2023-04-10
공모전,2023년도 상반기 주택금융연구 논문 공모,https://www.e-hfr.org/board/view?b_name=bo_notice&bo_id=4&per_page=,2023-02-27,2023-04-16
경진대회,"Playground Series - Season 3, Episode 12",https://www.kaggle.com/competitions/playground-series-s3e12,2023-04-04,2023-04-17
공모전,챗GPT MS애저톤,https://aifactory.space/competition/detail/2290,2023-03-05,2023-04-18
경진대회,IceCube - Neutrinos in Deep Ice,https://www.kaggle.com/competitions/icecube-neutrinos-in-deep-ice,2023-01-19,2023-04-20
경진대회,제4회 2023 연구개발특구 AI SPARK 챌린지,https://aifactory.space/competition/detail/2299,2023-03-17,2023-04-21
경진대회,데이콘 Basic 칼로리 소모량 예측 AI 경진대회,https://dacon.io/competitions/official/236097/overview/description,2023-04-10,2023-04-24
공모전,2023년 제3회 금융 데이터 활용 아이디어 경진대회,https://event.jbci.or.kr/sub/s1_1_view.html?id=216,2023-03-08,2023-04-25
경진대회,Lux AI Season 2,https://www.kaggle.com/competitions/lux-ai-season-2,2023-02-15,2023-04-25
공모전,디지털정부서비스 아이디어 공모,https://www.mois.go.kr/frt/bbs/type013/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000006&nttId=99472,2023-03-23,2023-04-27
공모전,2023년 공공데이터 기반 청소년상담복지사업 국민 아이디어 공모전,https://www.kyci.or.kr/boardManagement/board.asp?menuCategory=5&page=&nselect=&findstr=&bid=bid_1&subView=&boIdxMax=&board_menu=view&boIdx=6954,2023-04-01,2023-04-30
공모전,지역경제플랫폼 chak 아이디어 공모전,https://www.komsco.com/kor/article/bodo/18422?mno=&pageIndex=1&searchCondition=&searchKeyword=,2023-04-01,2023-04-30
공모전,2023년 제 21회 통계청 논문 공모전,https://sri.kostat.go.kr/menu.es?mid=a90206010100,2023-03-10,2023-04-30
공모전,제2회 ETRI 휴먼이해 인공지능 논문경진대회,https://aifactory.space/competition/detail/2234,2023-02-20,2023-04-30
경진대회,Classification with a Tabular Vector Borne Disease Dataset,https://www.kaggle.com/competitions/playground-series-s3e13,2023-04-18,2023-05-01
경진대회,Google - Isolated Sign Language Recognition,https://www.kaggle.com/competitions/asl-signs,2023-02-23,2023-05-02
공모전,약자 혁신기술 개발지원을 위한 문제발굴 시민 공모,https://news.seoul.go.kr/welfare/archives/551704,2023-04-17,2023-05-04
공모전,2023년 광진구 빅데이터 분석 공모전,https://gwangjin.go.kr/portal/bbs/B0000003/view.do?nttId=6034623&menuNo=200192,2023-03-20,2023-05-04
공모전,SKT AI Fellowship,https://www.sktuniv.com/?utm_source=everytime&utm_medium=banner&utm_campaign=sktaifellowship_5th,2023-04-11,2023-05-07
공모전,2023 SW개발 공모전(장애인 생활개선 및 복지향상을 위한 솔루션 개발),https://www.ictcoc.kr/04_com_n/com02_view.asp?idx=755&page=1&params=,2023-04-10,2023-05-07
공모전,"Social ""VALUE UP""아이디어 공모전",https://dlca.career.greetinghr.com/valueup1,2023-04-12,2023-05-07
공모전,2023년 부동산서비스산업 창업경진대회,https://www.reb.or.kr/reb/cm/cntnts/cntntsView.do?mi=9765&cntntsId=1160,2023-02-27,2023-05-08
공모전,2023년도 관세평가 및 품목분류 연구논문 & 관세평가 판례평석 공모전,http://www.kctdi.co.kr/html_researchpaper/info/info_1.jsp?p_type=HT1_01_01_01,2023-04-10,2023-05-08
경진대회,월간 데이콘 항공편 지연 예측 AI 경진대회,https://dacon.io/competitions/official/236094/overview/description,2023-04-03,2023-05-08
경진대회,Predict Student Performance from Game Play,https://www.kaggle.com/competitions/predict-student-performance-from-game-play,2023-02-06,2023-05-08
공모전,"도심에서 열리는 해커톤, SBA x 구름 새싹톤",https://sesacthon-apply.goorm.io/?utm_source=onoffmix&utm_medium=social&utm_campaign=sasacthon&utm_content=link,2023-04-24,2023-05-09
경진대회,제5회 2023 연구개발특구 AI SPARK 챌린지,https://aifactory.space/competition/detail/2315,2023-04-14,2023-05-11
공모전,결핵 스마트 관리 솔루션 개발 공모전,http://www.stoptbk.org/mobile/news/bbs001/2826?,2023-03-20,2023-05-12
공모전,ICT&스마트헬스케어 기반 스포츠산업 아이디어 경진대회,http://smarthealth.or.kr/bbs/board.php?bo_table=annonce&wr_id=79,2023-04-25,2023-05-13
공모전,2023 지식재산 데이터 활용 창업 경진대회,https://plus.kipris.or.kr/portal/main/contents.do?menuNo=210180,2023-03-14,2023-05-13
공모전,CJ대한통운 제 2회 물류혁신 아이디어 PT대회,https://mrecruit.cj.net/recruit/ko/recruit/recruit/detail.fo?zz_jo_num=7509,2023-04-25,2023-05-14
공모전,혁신공공서비스 발굴을 위한 서울시 생성 AI 해커톤,https://aifactory.space/competition/detail/2374,2023-04-12,2023-05-14
경진대회,Prediction of Wild Blueberry Yield,https://www.kaggle.com/competitions/playground-series-s3e14,2023-05-02,2023-05-15
경진대회,제2회 코스포 x 데이콘 도서 추천 알고리즘 AI경진대회(채용 연계형),https://dacon.io/competitions/official/236093/overview,2023-04-17,2023-05-15
공모전,"신한AI, 보다 나은 금융 생활을 위한 AI 서비스 아이디어 경진대회",https://dacon.io/competitions/official/236088/overview/description,2023-04-10,2023-05-15
경진대회,2023 IQC (International Quant Championship) 대회,https://platform.worldquantbrain.com/iqc,2023-03-03,2023-05-15
경진대회,Stable Diffusion - Image to Prompts,https://www.kaggle.com/competitions/stable-diffusion-image-to-prompts,2023-02-13,2023-05-16
공모전,2023년 국민참여예산 아이디어 공모전,https://www.kisa.or.kr/401/form?postSeq=3100,2023-04-19,2023-05-17
공모전,2023년 보건의료 통계정보 활용 경진대회,https://opendata.hira.or.kr/noticePopUp.do,2023-04-24,2023-05-17
경진대회,Ennovate- Coding Challenge 2023,https://ennovate.hackerearth.com/,2023-04-10,2023-05-18
공모전,2023 관광데이터 활용 공모전,http://2023tourapi.com/m/,2023-04-11,2023-05-18
경진대회,AMP®-Parkinson's Disease Progression Prediction,https://www.kaggle.com/competitions/amp-parkinsons-disease-progression-prediction,2023-02-16,2023-05-18
공모전,e-보고서 운영방안 아이디어 공모전,https://www.ipmarket.or.kr/idearo/service/idc/chlg/idcDetail.do?idcId=KPOIP_IDC_20230509093503254,2023-05-10,2023-05-19
공모전,2023 현대오토에버 배리어프리 앱개발 콘테스트,https://www.autoeverapp.kr/,2023-04-17,2023-05-21
경진대회,도배 하자 유형 분류 AI 경진대회,https://dacon.io/competitions/official/236082/overview/description,2023-04-10,2023-05-22
공모전,2023 춘계통합학회 대학(원)생 ERP 아이디어 공모전,https://kmis.or.kr/kmis/sub02/sub02_view.asp?Idx=2026&gotoPage=1&sBCode=A01&sItem=&sTxt=&go=,2023-03-22,2023-05-22
공모전,무역 · 무역보험 관련 공공데이터 활용 아이디어,https://www.ipmarket.or.kr/idearo/service/idc/chlg/idcDetail.do?idcId=KPOIP_IDC_20230411015835738,2023-04-12,2023-05-23
경진대회,FathomNet 2023,https://www.kaggle.com/competitions/fathomnet-out-of-sample-detection,2023-03-23,2023-05-23
공모전,제3회 웅진씽크빅 게임 개발 챌린지,https://wjtbgamechallenge.com/,2023-04-03,2023-05-25
경진대회,BirdCLEF 2023,https://www.kaggle.com/competitions/birdclef-2023,2023-03-08,2023-05-25
공모전,2023 농식품 소비 빅데이터 논문경진대회,https://www.rda.go.kr/board/board.do?boardId=ancmtt&prgId=nei_ancmttEntry&menu_id=pun&currPage=1&dataNo=100000786782&mode=updateCnt&searchKey=&searchVal=#script,2023-04-24,2023-05-26
경진대회,HackAPrompt Challenge,https://www.aicrowd.com/challenges/hackaprompt-2023,2023-05-05,2023-05-26
공모전,CCF 2023 챗GPT 질문 공모전,http://www.coreaimage.org/index.php?mid=notice&page=1&document_srl=4606895,2023-05-04,2023-05-26
공모전,2023 KoAT 대국민 혁신 아이디어 공모전,https://www.koat.or.kr/board/notice/14222/view.do,2023-05-08,2023-05-26
공모전,2023년 장애인 분야 해커톤 대회 : 장애 플러스 기술,https://www.herbnanum.org/load.asp?subPage=411.View&idx=2748,2023-05-01,2023-05-26
공모전,2023년 해양환경측정망 자료 활용 논문 공모전,https://kosmee.or.kr/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/11727715,2023-03-27,2023-05-26
공모전,제7회 서울혁신챌린지,https://seoul.rnbd.kr/client/c030100/c030100_04.jsp?sField=&sWord=&sFlag=&cPage=1&seqNo=207,2023-04-12,2023-05-28
경진대회,Feature Imputation with a Heat Flux Dataset,https://www.kaggle.com/competitions/playground-series-s3e15/overview,2023-05-16,2023-05-29
경진대회,헬스케어 빅데이터 쇼케이스 분석 챌린지,https://hb-showcase.kr/promotion/contest/,2023-05-10,2023-05-30
공모전,2023년 GKL 국민 혁신 아이디어 공모전,https://www.grandkorea.com/NOTI_01/detail?TMENUID=US_NOTI&SMENUID=US_NOTI_01&seq=30351,2023-05-04,2023-05-31
공모전,제 4회 스토리네이션 공모전 <AI 소설 창작 대작전>,https://home.storynation.co.kr/event1.html,2023-05-02,2023-05-31
공모전,2023 대학생 알고리즘 투자대회,https://drive.google.com/file/d/1Qn4dYZjDLa9cMUusmnoxXmIosCno1NXC/view?usp=drivesdk https://docs.google.com/forms/d/e/1FAIpQLSeMdsTwhBA6Ey8WQGmJ4VgLINDFU89Uslfe8qq1qiV4Zt8Tpg/viewform,2023-05-02,2023-05-31
공모전,제5회 대구 빅데이터 분석 경진대회,https://dipbigdata.kr/pages/sub.htm?mode=view&mv_data=aWR4PTEwOSZzdGFydFBhZ2U9MCZsaXN0Tm89OCZ0YWJsZT1jc19iYnNfZGF0YSZuYXZfY29kZT1kaXAxNjY0ODQ4NjgyJmNvZGU9bm90aWNlMDAxJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZ,2023-05-04,2023-05-31
공모전,2023년 성남시 공공데이터 활용·분석 아이디어 공모전,https://www.seongnam.go.kr/city/1000053/30003/bbsView.do?idx=337610,2023-04-17,2023-05-31
공모전,올담 데이터 활용 시각화 경진대회,http://www.chungnam.go.kr/contest/board.do?mnu_url=/cnbbs/view.do?board_seq=418366&mnu_cd=CONMENU00008&code=265,2023-04-13,2023-05-31
공모전,제16회 알테어 최적화 대회(AOC2023),https://web.altair.com/aoc2023?utm_campaign=APAC-KR-2023-04-EDU-CVG-AOC2023,2023-04-08,2023-05-31
