유형,플랫폼명,웹페이지
국내,아이디어 플랫폼,https://www.ipmarket.or.kr/idearo/index.do
국내,디지털산업혁신플랫폼,https://dc.bigdata-dx.kr/main
국내,[국립국어원] (시범운영) 인공지능 언어 능력 평가,https://corpus.korean.go.kr/taskOrdtm/useTaskOrdtmList.do
국내,AI-Hub,https://www.aihub.or.kr/
국내,[LH] COMPAS 도시문제해결 데이터 분석 플랫폼,https://compas.lh.or.kr/
국내,AI Factory,https://aifactory.space/
국내,Dacon,https://dacon.io/
국외,aicrowd,https://www.aicrowd.com/
국외,datahack,https://datahack.analyticsvidhya.com/
국외,bitgrit,https://bitgrit.net/competition/
국외,codalab,https://competitions.codalab.org/
국외,drivendata,https://www.drivendata.org/competitions/
국외,idao,https://idao.world/
국외,numer.ai,https://numer.ai/
국외,datasource.ai,https://www.datasource.ai/
국외,Kaggle,https://www.kaggle.com/
